Links,Title,Address,Price,Floor,Living area,Rooms
https://www.otodom.pl/pl/oferta/apartament-99m2-z-ogrodem-i-garazem-ID4xYZp,Apartament 99m2 z ogrodem i garażem,"ul. Kosocicka, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie",1280000.0,parter,99.0,4 pokoje
https://www.otodom.pl/pl/oferta/nowy-kleparz-tuz-za-rogiem-zakochasz-sie-ID4xYZo,Nowy Kleparz tuż za rogiem. Zakochasz się!,"ul. Helclów, Kleparz, Stare Miasto, Kraków, małopolskie",529915.0,3 piętro,32.32,1 pokój
https://www.otodom.pl/pl/oferta/komfort-i-zielen-apartament-z-tarasami-i-ogrodem-ID4xYZj,Komfort i zieleń – apartament z tarasami i ogrodem,"ul. Kosocicka, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie",2060000.0,parter,171.0,7 pokoi
https://www.otodom.pl/pl/oferta/elegancki-apartament-parterowy-z-tarasem-ID4xYZm,Elegancki apartament parterowy z tarasem,"ul. Stanisława Przybyszewskiego, Bronowice, Bronowice, Kraków, małopolskie",1350000.0,parter,65.0,3 pokoje
https://www.otodom.pl/pl/oferta/twoje-m-z-widokiem-na-zielen-3-pokoje-w-skotnika-ID4xYZl,Twoje M z widokiem na zieleń – 3 pokoje w Skotnika,"ul. Karola Bunscha, Skotniki, Dębniki, Kraków, małopolskie",761000.0,2 piętro,55.0,3 pokoje
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-inwestycyjnie-pradnik-bialy-ID4xYZa,2 pokoje | balkon | inwestycyjnie | Prądnik Biały,"ul. Josepha Conrada, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",585000.0,2 piętro,34.36,2 pokoje
https://www.otodom.pl/pl/oferta/wykonczone-mieszkanie-z-ogrodem-blisko-krakowa-ID4xYYK,Wykończone mieszkanie z ogrodem blisko Krakowa,"Ruczaj, Dębniki, Kraków, małopolskie",831000.0,parter,72.56,4 pokoje
https://www.otodom.pl/pl/oferta/przytulna-i-funkcjonalna-kawalerka-ID4xYYG,Przytulna i funkcjonalna kawalerka.,"ul. Wiktora Heltmana, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",310000.0,1 piętro,19.5,1 pokój
https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-33m-z-tarasem-blisko-tauron-areny-ID4xYUr,2 pok Mieszkanie 33m z tarasem blisko Tauron Areny,"ul. Ogrodnicza, Rakowice, Prądnik Czerwony, Kraków, małopolskie",699000.0,parter,33.0,2 pokoje
https://www.otodom.pl/pl/oferta/mieszkanie-z-tarasem-3-pok-czyzewskiego-ID4xYUa,Mieszkanie z tarasem | 3 pok. | Czyżewskiego,"ul. Tytusa Czyżewskiego, Łobzów, Krowodrza, Kraków, małopolskie",914000.0,5 piętro,45.72,3 pokoje
https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-oddzielne-czyzewskiego-eng-ID4xYTI,Mieszkanie 3 pok. oddzielne | Czyżewskiego | ENG,"ul. Tytusa Czyżewskiego, Łobzów, Krowodrza, Kraków, małopolskie",870000.0,5 piętro,47.5,3 pokoje
https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-z-ogrodkiem-i-garazem-ID4xYTo,Gotowe mieszkanie z ogródkiem i garażem,"Prądnik Biały, Prądnik Biały, Kraków, małopolskie",687500.0,parter,55.0,2 pokoje
https://www.otodom.pl/pl/oferta/mieszkanie-65-m2-taras-na-dachu-nowa-huta-ID4xYQS,Mieszkanie 65 m2 + taras na dachu- Nowa Huta,"ul. Ziarkowa, Mogiła, Nowa Huta, Kraków, małopolskie",904056.0,1 piętro,65.04,3 pokoje
https://www.otodom.pl/pl/oferta/parter-osobna-kuchnia-swietna-lokalizacja-ID4xYOn,"Parter, osobna kuchnia, świetna lokalizacja","ul. Borkowska, Kliny, Swoszowice, Kraków, małopolskie",890000.0,parter,65.0,3 pokoje
https://www.otodom.pl/pl/oferta/przytulne-2-pok-40m2-al-29-listopada-ID4xYMY,Przytulne 2 pok. - 40m2 - al. 29 Listopada,"al. 29 Listopada, Górka Narodowa, Prądnik Biały, Kraków, małopolskie",640000.0,4 piętro,40.03,2 pokoje
https://www.otodom.pl/pl/oferta/dwa-pokoje-do-aranzacji-balkon-parking-mpk-ID4xYMj,Dwa pokoje do aranżacji | balkon | parking | Mpk,"ul. Josepha Conrada, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",570000.0,2 piętro,33.93,2 pokoje
https://www.otodom.pl/pl/oferta/2-pokojowe-250m-od-galerii-bronowice-bd-standard-balkon-mp-wyposazone-ID4xYLg,"2 pokojowe,250m od Galerii Bronowice/bd. standard/balkon/MP/wyposażone","ul. Józefa Chełmońskiego, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",779000.0,2 piętro,46.0,2 pokoje
https://www.otodom.pl/pl/oferta/dwustronne-2-pokoje-garaz-0-prowizji-ID4xYK6,Dwustronne 2 pokoje | Garaż | 0% Prowizji,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie",727000.0,2 piętro,40.98,2 pokoje
https://www.otodom.pl/pl/oferta/przytulne-2-pokoje-garaz-0-prowizji-ID4xYK2,Przytulne 2 pokoje | Garaż | 0% Prowizji,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie",622000.0,2 piętro,33.0,2 pokoje
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-luksusowym-standardzie-ID4xYJo,2-pokojowe mieszkanie w luksusowym standardzie!,"ul. Wiślisko, Grzegórzki, Grzegórzki, Kraków, małopolskie",1380000.0,,75.3,2 pokoje
https://www.otodom.pl/pl/oferta/81m2-4-pok-dwa-mieszkania-inwestycja-na-wynajem-ID4xYIj,81m2 4 pok dwa mieszkania inwestycja na wynajem,"ul. bp. Piotra Tomickiego, Czyżyny, Czyżyny, Kraków, małopolskie",990000.0,1 piętro,81.22,4 pokoje
https://www.otodom.pl/pl/oferta/nowe-wykonczone-po-podlodze-44m2-18km-do-krakowa-ID4xYHK,"Nowe Wykończone , po podłodze 44m2 18KM do Krakowa","Swoszowice, Swoszowice, Kraków, małopolskie",448116.0,2 piętro,40.84,2 pokoje
